feature,correlation,importance
water_status_range,-0.22907605657040533,0.005229227383547464
tide_12h_tide_mean,-0.13879932653945448,0.004990123608595318
future_tide_tide_max,-0.22847107378224982,0.004933860387814687
tide_12h_tide_r_squared,-0.13876352745224887,0.004717210033123209
tide_24h_tide_min,0.26186186962146685,0.004311930458904479
flow_mean,0.1470021282963616,0.00420658812573038
tide_24h_tide_r_squared,-0.09459593320402515,0.004060325624972872
rain_actual_新昌_sum,0.23368488535402307,0.004008493323237512
tide_24h_tide_max,-0.20995950978882608,0.003966986741482143
rain_actual_绍兴平原_mean,0.21568763374142888,0.0039014888639851615
tide_24h_tide_rise_rate,-0.3636840543146932,0.003873931346354691
flow_range,0.12653044828861904,0.0038384477576697256
flow_min,0.12958936487758732,0.0037928231957759817
future_tide_tide_phase,-0.17836841589794578,0.0037304004702693266
future_tide_tide_range,-0.2524387879205977,0.0036662289085234814
tide_12h_tide_range,-0.2165858793228333,0.003495207892383471
rain_actual_绍兴平原_sum,0.24328897877184716,0.003490065385557969
rain_actual_虞南山区_mean,0.22592466701601935,0.0033528520412438164
rain_actual_虞北平原_sum,0.24869252127188363,0.0032491729986805027
future_water_missing,-0.09324893885466834,0.003148434296131029
tide_24h_tide_range,-0.2258568123177544,0.0028971206097951866
is_weekend,0.005206147747595348,0.0028038038409142906
tide_12h_tide_min,0.25169771195607843,0.0027907151846043613
rain_actual_嵊州_sum,0.2511744875163209,0.002555029027996031
tide_12h_tide_phase,-0.19050355897943339,0.002392505203395599
rain_actual_虞南山区_max,0.07213136131866388,0.002154553517566724
tide_12h_tide_cycle_count,-0.2790610247618423,0.002113590176506714
rain_actual_嵊州_max,0.0743261592761312,0.0020819722628472163
is_rush_hour,-0.029620871859134895,0.0020697223315158083
rain_actual_虞南山区_sum,0.24521036407162713,0.0020200064039584678
rain_actual_绍兴平原_max,0.06357456318917862,0.0018780736221189183
tide_24h_tide_phase,-0.19162194826213233,0.0018638815402598375
tide_24h_tide_cycle_count,-0.3805676118549611,0.0016381913495798997
rain_actual_新昌_max,0.08482203222731952,0.0016213924489986058
tide_12h_tide_fall_rate,-0.08726297491280365,0.0014477868256450967
rain_actual_虞北平原_max,0.0791735793126701,0.0014326231913862394
future_tide_tide_rise_rate,-0.031981221643058756,0.0009155730369977118
rain_change_rate,-0.02425865161184922,0.0004449078356989019
rain_missing,-0.028415832590937773,0.0003061160062262374
future_tide_tide_cycle_count,-0.020846491943292557,0.00030238803944395684
rain_forecast_新昌_mean,0.04236001171339521,0.0002129215789383734
water_missing,0.23439441217354456,0.0001487897890650647
flow_missing,0.2401256797295968,0.00013941557066177708
rain_forecast_绍兴平原_max,0.01344996938180695,0.00013936181332392005
water_status_missing,0.2391283224713672,0.00012640452229967125
rain_forecast_虞北平原_mean,0.01235319865024479,0.00011860279306414275
rain_forecast_total,0.020033509265156006,0.00011032510516445688
rain_forecast_嵊州_mean,0.026869778197082705,8.529736053381525e-05
rain_forecast_虞南山区_mean,0.04898804910260772,4.624550083828737e-05
rain_forecast_虞南山区_sum,0.02994204189874199,3.649022205471486e-05
rain_forecast_新昌_sum,0.03157274267295565,3.071972509090897e-05
rain_forecast_avg,0.020033509265155885,2.8535421017307037e-05
rain_forecast_嵊州_max,0.013049094429574654,2.157363071238841e-05
rain_forecast_新昌_max,0.016651963933971867,2.0724649883962973e-05
rain_forecast_嵊州_sum,0.012793266475995668,1.9890476985914448e-05
rain_forecast_虞南山区_max,0.05178881094995677,1.8364040468591042e-05
rain_forecast_虞北平原_max,0.011362874373020498,1.7387329876536465e-05
rain_forecast_绍兴平原_mean,0.0323606689989676,1.6330211615562846e-05
rain_forecast_虞北平原_sum,0.0035232743504073623,8.976353334316551e-06
rain_forecast_绍兴平原_sum,0.010064583538032301,6.472138425188321e-06
water_rain_ratio,,0.0
